task_id	Iot_source	MI	Inputsize	outputsize	Queuing_local	local_processing	total_IoT_response_time	total_IoT_response_energy	edge_up_delay	edge_dw_delay	Queuing_edge	edge_processing	total_edge_time	total_edge_response_energy	edge_up_delay2	edge_dw_delay2	Queuing_edge2	edge_processing2	total_edge_time2	total_edge_response_energy2	edge_up_delay3	edge_dw_delay3	Queuing_edge3	edge_processing3	total_edge_time3	total_edge_response_energy3	edge_up_delay4	edge_dw_delay4	Queuing_edge4	edge_processing4	total_edge_time4	total_edge_response_energy4	cloud_up_delay	cloud_dw_delay	Queuing_cloud	cloud_processing	total_cloud_time	total_cloud_response_energy1	cloud_up_delay2	cloud_dw_delay2	Queuing_cloud2	cloud_processing2	total_cloud_time2	total_cloud_response_energy2
23	2	167	19	6	0.0	3.34	3.34	7.6819999999999995	0.0296875	0.009375	0.0	0.05566666666666667	0.09472916666666667	0.1371125	0.026988636363636364	0.008522727272727272	0.0	0.0668	0.10231136363636363	0.14408045454545454	0.11002428683737646	0.00955705840418187	0.0	0.0835	0.20308134524155835	0.15879374999999998	0.09483340970861516	0.008956096865720332	0.0	0.09542857142857143	0.19921807800290692	0.16860082417582417	0.059375	0.01875	0.0	0.013916666666666667	0.09204166666666666	0.157325	0.049479166666666664	0.015625	0.0	0.0167	0.08180416666666665	0.13722749999999997
24	2	805	20	1	0.0	16.1	16.1	37.03	0.03125	0.0015625	0.0	0.2683333333333333	0.30114583333333333	0.38106249999999997	0.028409090909090908	0.0014204545454545455	0.0	0.322	0.3518295454545455	0.44009318181818186	0.1113263701707098	0.0030466417375152044	0.0	0.4025	0.516873011908225	0.53221875	0.09603533278553823	0.002946481481104948	0.0	0.46	0.5589818142666432	0.5974326923076924	0.0625	0.003125	0.0	0.06708333333333333	0.13270833333333332	0.198625	0.052083333333333336	0.0026041666666666665	0.0	0.0805	0.13518750000000002	0.1950375
25	3	273	23	1121	0.0	5.46	5.46	12.558	0.0359375	1.7515625	0.0	0.091	1.8784999999999998	3.3266999999999998	0.032670454545454544	1.5923295454545454	0.0	0.1092	1.7342	3.0560400000000003	0.1152326201707098	1.4613799750708487	0.0	0.1365	1.7131125952415585	2.8450500000000005	0.09964110201630746	1.3491003276349511	0.0	0.156	1.6047414296512583	2.6622	0.071875	3.503125	0.0	0.02275	3.5977499999999996	6.4623	0.059895833333333336	2.9192708333333335	0.0	0.0273	3.006466666666667	5.39526
26	2	852	49	7	0.0	17.04	17.04	39.19199999999999	0.0765625	0.0109375	0.0	0.284	0.3715	0.49829999999999997	0.06960227272727272	0.009943181818181818	0.0	0.3408	0.4203454545454545	0.5521418181818182	0.14908678683737647	0.010859141737515204	0.0	0.426	0.5859459285748917	0.64245	0.13089110201630746	0.010158019942643409	0.156	0.4868571428571429	0.7839062648160938	0.7053824175824176	0.153125	0.021875	0.0	0.071	0.246	0.40020000000000006	0.12760416666666666	0.018229166666666668	0.0	0.0852	0.2310333333333333	0.36473999999999995
27	3	170	114	624	0.0	3.4	3.4	7.819999999999999	0.178125	0.975	0.0	0.056666666666666664	1.2097916666666666	2.143625	0.2645593071447878	0.8881081947678182	0.0	0.068	1.220667501912606	1.9685318181818183	0.23372220350404313	0.8142445584041819	0.0	0.085	1.132966761908225	1.8316875000000001	0.2090161020163075	0.7517445584041819	0.0	0.09714285714285714	1.0579035175633464	1.7132060439560441	0.35625	1.95	0.0	0.014166666666666666	2.3204166666666666	4.1682500000000005	0.296875	1.625	0.0	0.017	1.938875	3.479775
28	3	341	7	327	0.0	6.82	6.82	15.686	0.0109375	0.5109375	0.0	0.11366666666666667	0.6355416666666668	1.0757750000000001	0.11257067078115145	0.4662331947678182	0.0	0.1364	0.7152038655489696	1.0176572727272728	0.09439928683737646	0.42752580840418186	0.0	0.1705	0.6924250952415584	0.9874125	0.08041033278553823	0.394773404558028	0.0	0.19485714285714287	0.6700408802007091	0.9564247252747253	0.021875	1.021875	0.0	0.028416666666666666	1.072166666666667	1.9128500000000004	0.018229166666666668	0.8515625	0.0	0.0341	0.9038916666666666	1.6065450000000001
29	0	3800	310	932	0.0	76.0	76.0	174.79999999999998	0.484375	1.45625	0.0	1.2666666666666666	3.2072916666666664	5.013125	0.4403409090909091	1.3238636363636365	0.0	1.52	3.2842045454545454	4.999568181818182	0.4889305368373764	1.2152862250708487	0.0	1.9	3.604216761908225	5.1909375	0.44459302509323056	1.1219368660964897	0.0	2.1714285714285713	3.737958462618291	5.2927335164835165	0.96875	2.9125	0.0	0.31666666666666665	15.841666666666667	28.325	0.8072916666666666	2.4270833333333335	0.0	0.38	3.614375	6.277875
30	3	17	228	455	0.0	0.34	0.34	0.782	0.4821132596685083	0.7126820584041819	1.2666666666666666	0.005666666666666709	2.4671286514060236	1.9277375	0.32386363636363635	0.6463068181818182	0.0	0.0068	0.9769704545454546	1.7544668181818182	0.38215970350404316	0.5941924750708485	0.0	0.0085	0.9848521785748916	1.61098125	0.3460353327855383	0.5486195584041819	0.0	0.009714285714285713	0.9043691769040058	1.4893013736263736	0.7125	1.421875	0.0	0.0014166666666666668	2.1357916666666665	3.843575	0.59375	1.1848958333333333	0.0	0.0017	1.7803458333333333	3.2036025
31	0	402	3753	992	0.0	8.04	8.04	18.491999999999997	5.8640625	1.55	0.0	0.134	7.5480625	13.5061125	5.330965909090909	1.4090909090909092	0.0	0.1608	6.900856818181818	12.325062272727273	4.972003453504043	1.2934112250708487	0.0	0.201	6.466414678574892	11.36229375	4.582814178939384	1.1940522507118743	0.0	0.2297142857142857	6.006580715365544	10.541282142857142	11.728125	3.1	0.0	0.0335	14.861625	26.730825	9.7734375	2.5833333333333335	0.0	0.0402	12.396970833333334	22.2904275
32	2	212	171	1	0.0	4.24	4.24	9.751999999999999	0.2671875	0.0015625	0.0	0.07066666666666667	0.3394166666666667	0.5685500000000001	0.24289772727272727	0.0014204545454545455	0.0	0.0848	0.3291181818181818	0.5415327272727273	0.30794095350404316	0.0030466417375152044	0.0	0.106	0.4169875952415583	0.5303249999999999	0.27752571740092286	0.002946481481104948	0.2297142857142857	0.12114285714285716	0.6313293417391707	0.5174868131868132	0.534375	0.003125	0.0	0.017666666666666667	0.5551666666666668	0.9887000000000001	0.4453125	0.0026041666666666665	0.0	0.0212	0.4691166666666667	0.83169
