Task_ID	Task_Type	Task_Lenght	TaskInputType	TaskStartTime	NetworkDelay	Uploading Delay	ExecutionDelay	ServiceTime	Downloading Delay	EndTime	offloadingPlace	IoTenergy	EdgeEnergy	CloudEnergy	
234	2	1178	2213	1279.7504619705358	9.558687500000001	4.4546875	1.1780000000002424	10.736687500000244	5.104	1290.487149470536	Edge	18.619237500000292	1152.465299562526	0.0	
242	2	1160	314	1308.1325385517116	4.497693720909735	1.1965568925129728	1.1599999999999842	5.65769372090972	3.3011368283967624	1313.7902322726213	Edge	9.487848697637506	607.2911863087284	0.0	
237	0	4722	848	1298.3956634489905	12.9625625	3.2265625	4.721331542333576	17.683894042333577	9.736	1316.079557491324	Edge	28.998210350800296	1898.1715026100437	0.0	
238	0	2635	19	1302.752244991324	11.468449328396762	1.8953125000000002	4.331000000000042	15.799449328396804	9.573136828396763	1318.5516943197208	Edge	25.84040879111422	1695.8970914607846	0.0	
244	0	5871	872	1314.315868299125	4.870306892512973	1.9903068925129728	5.871000000000221	10.741306892513194	2.88	1325.0571751916382	Edge	15.811752406523617	1152.9611405354738	0.0	
247	0	3541	2202	1334.0185920656938	5.9173124999999995	3.8453125	3.5409999999999204	9.45831249999992	2.072	1343.4769045656938	Edge	14.900362499999904	1015.2458054374914	0.0	
248	0	832	1029	1357.028083000014	2.650125	1.7781250000000002	0.8320000000002237	3.4821250000002237	0.872	1360.5102080000142	Edge	5.768625000000268	373.767815375024	0.0	
249	0	348	1347	1360.7900586992341	15.253125	4.253125	0.34799999999991016	15.60112499999991	11.0	1376.391183699234	Edge	27.873224999999895	1674.6091563749903	0.0	
255	3	121	626	1388.9809146173172	1.3896937209097355	1.096556892512973	0.12100000000004951	1.510693720909785	0.2931368283967625	1390.491608338227	Edge	2.6466486976375836	162.15635330873542	0.0	
251	0	569	5364	1379.6872855707709	16.66438682839676	9.73125	0.5689999999999991	17.23338682839676	6.933136828396762	1396.9206723991676	Edge	30.67869629111417	1849.8145087732798	0.0	
262	3	37	35	1448.2784614609895	1.804625	0.340625	0.037000000000021904	1.8416250000000218	1.464	1450.1200864609896	Edge	3.292725000000026	197.67818587500233	0.0	
263	0	7664	1328	1454.1249280187203	2.132375	2.084375	7.6639999999998984	9.796374999999898	0.048	1463.9213030187202	Edge	13.035074999999878	1051.533096124989	0.0	
276	2	2718	25	1513.5468254577763	0.737125	0.153125	2.7180000000001803	3.45512500000018	0.584	1517.0019504577765	Edge	4.588425000000217	370.86966237501935	0.0	
277	0	3870	892	1530.9110970836145	4.798	1.9500000000000002	3.8699999999998926	8.667999999999893	2.848	1539.5790970836144	Edge	13.280399999999872	930.4144519999885	0.0	
285	0	1545	1403	1554.4372353961983	3.2651993283967626	2.3640625	1.5450000000001851	4.810199328396948	0.9011368283967626	1559.2474347245952	Edge	7.731358791114395	516.3219857107999	0.0	
274	3	2	632	1498.730231349254	2.3760743283967622	1.2109375	58.24308619794984	60.619160526346604	1.1651368283967625	1559.3493918756005	Edge	74.16863722865398	6506.800071737518	0.0	
289	3	52	14	1557.7845731546909	2.0208187209097357	0.3996818925129728	0.05199999999997296	2.0728187209097086	1.6211368283967627	1559.8573918756006	Edge	3.6998736976374915	222.4942886837272	0.0	
288	2	8168	134	1557.4387612828882	2.4856312209097355	0.6324943925129728	8.168000000000067	10.653631220909801	1.8531368283967626	1568.092392503798	Edge	14.275736197637604	1143.5501216212372	0.0	
287	0	1589	2792	1557.0190814835364	15.885312500000001	6.2453125	1.588999999999995	17.474312499999996	9.64	1574.4933939835364	Edge	30.500362499999998	1875.6752294374996	0.0	
